# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	17585	17797	-	AQQ58747.1			30S ribosomal protein S21			XJ32_00065	213	70	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	17923	19185	-							XJ32_00070	1263		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	17923	19185	-	AQQ58748.1			adenylosuccinate synthetase			XJ32_00070	1263	420	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	19185	20039	-							XJ32_00075	855		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	19185	20039	-	AQQ58749.1			ATP phosphoribosyltransferase regulatory subunit			XJ32_00075	855	284	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	20443	21366	-							XJ32_00080	924		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	20443	21366	-	AQQ58750.1			cysteine synthase			XJ32_00080	924	307	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	21503	24070	+							XJ32_00085	2568		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	21503	24070	+	AQQ60602.1			hypothetical protein			XJ32_00085	2568	855	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	24608	25036	-							XJ32_00090	429		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	24608	25036	-	AQQ58751.1			polymer-forming cytoskeletal family protein			XJ32_00090	429	142	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	24967	25911	-							XJ32_00095	945		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	24967	25911	-	AQQ58752.1			peptidase M23			XJ32_00095	945	314	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	25911	27023	-							XJ32_00100	1113		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	25911	27023	-	AQQ58753.1			toxR-activated protein			XJ32_00100	1113	370	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	27032	28282	-							XJ32_00105	1251		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	27032	28282	-	AQQ58754.1			FolC protein			XJ32_00105	1251	416	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	28422	29885	-							XJ32_00110	1464		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	28422	29885	-	AQQ58755.1			hypothetical protein			XJ32_00110	1464	487	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	29978	30619	-							XJ32_00115	642		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	29978	30619	-	AQQ58756.1			hypothetical protein			XJ32_00115	642	213	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	30815	31480	-							XJ32_00120	666		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	30815	31480	-	AQQ58757.1			chemotaxis protein CheY			XJ32_00120	666	221	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	31830	32600	+							XJ32_00125	771		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	31830	32600	+	AQQ60603.1			flagellar biosynthesis protein flip			XJ32_00125	771	256	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	32703	33389	+							XJ32_00130	687		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	32703	33389	+	AQQ58758.1			chemotaxis protein			XJ32_00130	687	228	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	33396	34262	+							XJ32_00135	867		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	33396	34262	+	AQQ58759.1			hypothetical protein			XJ32_00135	867	288	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	34479	35594	-							XJ32_00140	1116		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	34479	35594	-	AQQ58760.1			hypothetical protein			XJ32_00140	1116	371	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	35701	37053	-							XJ32_00145	1353		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	35701	37053	-	AQQ58761.1			multidrug transporter			XJ32_00145	1353	450	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	37072	38355	-							XJ32_00150	1284		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	37072	38355	-	AQQ60604.1			transcription termination factor Rho			XJ32_00150	1284	427	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	38799	39140	-							XJ32_00155	342		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	38799	39140	-	AQQ58762.1			50S ribosomal protein L20			XJ32_00155	342	113	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	39299	39493	-							XJ32_00160	195		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	39299	39493	-	AQQ58763.1			50S ribosomal protein L35			XJ32_00160	195	64	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	39539	40063	-							XJ32_00165	525		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	39539	40063	-	AQQ58764.1			translation initiation factor IF-3			XJ32_00165	525	174	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	40060	41898	-							XJ32_00170	1839		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	40060	41898	-	AQQ58765.1			threonyl-tRNA synthetase			XJ32_00170	1839	612	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	42066	43277	-							XJ32_00175	1212		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	42066	43277	-	AQQ58766.1			NADH dehydrogenase			XJ32_00175	1212	403	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	43352	44563	-							XJ32_00180	1212		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	43352	44563	-	AQQ58767.1			glutamate-pyruvate aminotransferase			XJ32_00180	1212	403	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	44688	45170	-							XJ32_00185	483		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	44688	45170	-	AQQ58768.1			RNA methyltransferase			XJ32_00185	483	160	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	45321	45875	+							XJ32_00190	555		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	45321	45875	+	AQQ58769.1			4-methyl-5(B-hydroxyethyl)-thiazole monophosphate biosynthesis protein			XJ32_00190	555	184	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	45903	46892	+							XJ32_00195	990		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	45903	46892	+	AQQ58770.1			DNA polymerase III subunit delta			XJ32_00195	990	329	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	46964	47401	+							XJ32_00200	438		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	46964	47401	+	AQQ58771.1			30S ribosomal protein S6			XJ32_00200	438	145	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	47424	47984	+							XJ32_00205	561		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	47424	47984	+	AQQ58772.1			single-stranded DNA-binding protein			XJ32_00205	561	186	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	48016	48270	+							XJ32_00210	255		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	48016	48270	+	AQQ58773.1			30S ribosomal protein S18			XJ32_00210	255	84	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	48486	49406	+							XJ32_00215	921		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	48486	49406	+	AQQ58774.1			hypothetical protein			XJ32_00215	921	306	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	49412	49840	+							XJ32_00220	429		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	49412	49840	+	AQQ58775.1			hypothetical protein			XJ32_00220	429	142	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	49969	50802	+							XJ32_00225	834		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	49969	50802	+	AQQ58776.1			hypothetical protein			XJ32_00225	834	277	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	52090	53259	-							XJ32_00230	1170		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	52090	53259	-	AQQ58777.1			glutathionylspermidine synthase			XJ32_00230	1170	389	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	53369	55309	-							XJ32_00235	1941		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	53369	55309	-	AQQ60605.1			chemotaxis protein			XJ32_00235	1941	646	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	55688	57103	-							XJ32_00240	1416		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	55688	57103	-	AQQ58778.1			cytochrome C biogenesis protein CcdA			XJ32_00240	1416	471	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	57094	58332	-							XJ32_00245	1239		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	57094	58332	-	AQQ58779.1			hypothetical protein			XJ32_00245	1239	412	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	58393	59346	-							XJ32_00250	954		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	58393	59346	-	AQQ58780.1			hypothetical protein			XJ32_00250	954	317	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	59395	61947	-					flgL		XJ32_00255	2553		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	59395	61947	-	AQQ58781.1			flagellar hook protein FlgL	flgL		XJ32_00255	2553	850	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	62105	62599	+							XJ32_00260	495		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	62105	62599	+	AQQ58782.1			HIT family hydrolase			XJ32_00260	495	164	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	62611	63495	+							XJ32_00265	885		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	62611	63495	+	AQQ58783.1			hypothetical protein			XJ32_00265	885	294	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	64128	65000	-							XJ32_00270	873		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	64128	65000	-	AQQ58784.1			acetylglutamate kinase			XJ32_00270	873	290	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	65162	66046	-							XJ32_00275	885		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	65162	66046	-	AQQ58785.1			FkbM family methyltransferase			XJ32_00275	885	294	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	66498	66758	+							XJ32_00280	261		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	66498	66758	+	AQQ58786.1			hypothetical protein			XJ32_00280	261	86	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	67365	68141	-							XJ32_00285	777		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	67365	68141	-	AQQ58787.1			glutamine ABC transporter ATP-binding protein			XJ32_00285	777	258	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	68192	69394	-							XJ32_00290	1203		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	68192	69394	-	AQQ58788.1			cell division protein FtsZ			XJ32_00290	1203	400	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	69413	70798	-							XJ32_00295	1386		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	69413	70798	-	AQQ58789.1			cell division protein FtsA			XJ32_00295	1386	461	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	70795	72426	-							XJ32_00300	1632		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	70795	72426	-	AQQ58790.1			WbnF			XJ32_00300	1632	543	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	72709	73347	-							XJ32_00305	639		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	72709	73347	-	AQQ58791.1			endonuclease III			XJ32_00305	639	212	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	73360	74820	-							XJ32_00310	1461		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	73360	74820	-	AQQ58792.1			hypothetical protein			XJ32_00310	1461	486	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	74817	75626	-							XJ32_00315	810		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	74817	75626	-	AQQ58793.1			hypothetical protein			XJ32_00315	810	269	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	75613	76284	-							XJ32_00320	672		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	75613	76284	-	AQQ58794.1			ABC transporter ATP-binding protein			XJ32_00320	672	223	
gene	pseudogene	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	77058	77879	-				tRNA (guanine-N7)-methyltransferase			XJ32_00325	822		pseudo
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	78015	79361	-							XJ32_00330	1347		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	78015	79361	-	AQQ58795.1			fibronectin			XJ32_00330	1347	448	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	79397	80383	-							XJ32_00335	987		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	79397	80383	-	AQQ58796.1			pseudouridine synthase			XJ32_00335	987	328	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	80718	82013	+							XJ32_00340	1296		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	80718	82013	+	AQQ60606.1			phosphoribosylamine--glycine ligase			XJ32_00340	1296	431	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	82641	83375	-							XJ32_00345	735		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	82641	83375	-	AQQ58797.1			lipopolysaccharide biosynthesis protein			XJ32_00345	735	244	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	83571	84167	-							XJ32_00350	597		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	83571	84167	-	AQQ58798.1			peroxidase			XJ32_00350	597	198	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	84283	85419	-							XJ32_00355	1137		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	84283	85419	-	AQQ58799.1			hypothetical protein			XJ32_00355	1137	378	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	85416	85784	-							XJ32_00360	369		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	85416	85784	-	AQQ58800.1			RNA polymerase-binding protein DksA			XJ32_00360	369	122	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	85797	86261	-							XJ32_00365	465		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	85797	86261	-	AQQ58801.1			rRNA methyltransferase			XJ32_00365	465	154	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	86233	87102	-							XJ32_00370	870		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	86233	87102	-	AQQ58802.1			acetyl-CoA carboxylase subunit beta			XJ32_00370	870	289	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	87104	88159	-							XJ32_00375	1056		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	87104	88159	-	AQQ58803.1			hypothetical protein			XJ32_00375	1056	351	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	88163	88726	-							XJ32_00380	564		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	88163	88726	-	AQQ58804.1			elongation factor P			XJ32_00380	564	187	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	89512	90180	-							XJ32_00385	669		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	89512	90180	-	AQQ58805.1			UDP pyrophosphate synthase			XJ32_00385	669	222	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	90204	90926	-							XJ32_00390	723		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	90204	90926	-	AQQ58806.1			ABC transporter			XJ32_00390	723	240	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	91054	92721	-							XJ32_00395	1668		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	91054	92721	-	AQQ58807.1			L-lactate permease			XJ32_00395	1668	555	
gene	pseudogene	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	93007	94211	+				hypothetical protein			XJ32_00400	1205		pseudo
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	94698	95171	-							XJ32_00405	474		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	94698	95171	-	AQQ58808.1			hypothetical protein			XJ32_00405	474	157	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	95463	95828	+							XJ32_00410	366		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	95463	95828	+	AQQ58809.1			hypothetical protein			XJ32_00410	366	121	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	96185	96670	+							XJ32_00415	486		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	96185	96670	+	AQQ60607.1			glycosyltransferase			XJ32_00415	486	161	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	97124	100774	+					carB		XJ32_00420	3651		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	97124	100774	+	AQQ58810.1			carbamoyl phosphate synthase large subunit	carB		XJ32_00420	3651	1216	
gene	pseudogene	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	101152	101409	+				methyltransferase			XJ32_00425	258		pseudo
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	101422	101667	+							XJ32_00430	246		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	101422	101667	+	AQQ60608.1			methyltransferase			XJ32_00430	246	81	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	101875	102432	-							XJ32_00435	558		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	101875	102432	-	AQQ60609.1			hypothetical protein			XJ32_00435	558	185	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	102521	103360	-							XJ32_00440	840		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	102521	103360	-	AQQ58811.1			hypothetical protein			XJ32_00440	840	279	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	103442	103900	-							XJ32_00445	459		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	103442	103900	-	AQQ58812.1			dTDP-6-deoxy-3,4-keto-hexulose isomerase			XJ32_00445	459	152	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	104025	104975	-							XJ32_00450	951		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	104025	104975	-	AQQ58813.1			GNAT family acetyltransferase			XJ32_00450	951	316	
gene	pseudogene	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	105140	106063	-				GNAT family acetyltransferase			XJ32_00455	924		pseudo
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	106060	106257	-							XJ32_00460	198		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	106060	106257	-	AQQ58814.1			hypothetical protein			XJ32_00460	198	65	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	106263	106847	-							XJ32_00465	585		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	106263	106847	-	AQQ58815.1			hypothetical protein			XJ32_00465	585	194	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	106885	107637	-							XJ32_00470	753		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	106885	107637	-	AQQ58816.1			hypothetical protein			XJ32_00470	753	250	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	107640	108035	-							XJ32_00475	396		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	107640	108035	-	AQQ58817.1			dTDP-6-deoxy-3,4-keto-hexulose isomerase			XJ32_00475	396	131	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	108028	109044	-							XJ32_00480	1017		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	108028	109044	-	AQQ58818.1			spore coat protein			XJ32_00480	1017	338	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	109058	109930	-							XJ32_00485	873		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	109058	109930	-	AQQ58819.1			glucose-1-phosphate thymidylyltransferase			XJ32_00485	873	290	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	110297	111031	-					frdB		XJ32_00490	735		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	110297	111031	-	AQQ58820.1			fumarate reductase	frdB		XJ32_00490	735	244	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	111031	113001	-							XJ32_00495	1971		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	111031	113001	-	AQQ58821.1			fumarate reductase			XJ32_00495	1971	656	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	113018	113851	-							XJ32_00500	834		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	113018	113851	-	AQQ58822.1			fumarate reductase			XJ32_00500	834	277	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	114088	115536	-							XJ32_00505	1449		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	114088	115536	-	AQQ58823.1			flagellar biosynthesis regulator FlhF			XJ32_00505	1449	482	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	115533	116003	-							XJ32_00510	471		
