# SignalP-5.0	Organism: Gram-negative	Timestamp: 20191213082136
# ID	Prediction	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS Position
BAM31789.1	SP(Sec/SPI)	0.998643	0.000380	0.000731	0.000246	CS pos: 20-21. AFA-AA. Pr: 0.8706
BAM31793.1	OTHER	0.020572	0.052091	0.016495	0.910841	
BAM31800.1	OTHER	0.096171	0.002876	0.073129	0.827824	
BAM31801.1	OTHER	0.002367	0.000736	0.000225	0.996671	
BAM31803.1	OTHER	0.114375	0.002608	0.006750	0.876267	
BAM31862.1	OTHER	0.005270	0.000597	0.000553	0.993581	
BAM31863.1	OTHER	0.002638	0.000828	0.000460	0.996075	
BAM31864.1	TAT(Tat/SPI)	0.001275	0.884044	0.113233	0.001448	CS pos: 37-38. CSG-EH. Pr: 0.3542
BAM31865.1	TAT(Tat/SPI)	0.000167	0.999585	0.000116	0.000131	CS pos: 31-32. AFG-NE. Pr: 0.3377
BAM31868.1	SP(Sec/SPI)	0.902287	0.000153	0.095128	0.002433	CS pos: 20-21. AYG-AG. Pr: 0.8093
BAM31869.1	OTHER	0.003682	0.000928	0.000560	0.994830	
BAM31873.1	OTHER	0.007762	0.000876	0.004127	0.987235	
BAM31874.1	OTHER	0.002370	0.000112	0.001774	0.995744	
BAM31877.1	OTHER	0.144929	0.000418	0.012285	0.842368	
BAM31878.1	LIPO(Sec/SPII)	0.016820	0.000363	0.555611	0.427206	CS pos: 28-29. ILA-CY. Pr: 0.5588
BAM31880.1	OTHER	0.007615	0.000772	0.001193	0.990420	
BAM31882.1	OTHER	0.008089	0.000377	0.001386	0.990147	
BAM31883.1	OTHER	0.022521	0.001257	0.001426	0.974797	
BAM31884.1	OTHER	0.042753	0.011873	0.019400	0.925975	
BAM31885.1	OTHER	0.003232	0.019252	0.000399	0.977118	
BAM31886.1	OTHER	0.004279	0.000313	0.000960	0.994448	
BAM31887.1	OTHER	0.003683	0.001227	0.000938	0.994153	
BAM31888.1	OTHER	0.033134	0.001734	0.007401	0.957731	
BAM31890.1	OTHER	0.016551	0.002071	0.008120	0.973258	
BAM31891.1	OTHER	0.001726	0.000452	0.000305	0.997516	
BAM31892.1	OTHER	0.011379	0.004777	0.001116	0.982728	
BAM31894.1	OTHER	0.006672	0.001877	0.001759	0.989692	
BAM31897.1	OTHER	0.066566	0.001569	0.030921	0.900944	
BAM31898.1	OTHER	0.001031	0.000351	0.025066	0.973553	
BAM31900.1	SP(Sec/SPI)	0.521323	0.004173	0.024519	0.449986	CS pos: 18-19. TLA-ER. Pr: 0.3536
BAM31918.1	OTHER	0.006121	0.002663	0.000956	0.990260	
BAM31919.1	OTHER	0.004428	0.003838	0.000639	0.991095	
BAM31938.1	SP(Sec/SPI)	0.654411	0.000369	0.252552	0.092668	CS pos: 19-20. VFG-AN. Pr: 0.6188
BAM31953.1	LIPO(Sec/SPII)	0.000440	0.000019	0.999437	0.000103	CS pos: 18-19. LFA-CS. Pr: 0.9995
BAM31977.1	OTHER	0.014752	0.000092	0.060763	0.924393	
BAM31980.1	OTHER	0.002303	0.004301	0.000346	0.993051	
BAM31981.1	OTHER	0.008738	0.003158	0.001581	0.986523	
BAM31982.1	OTHER	0.014369	0.000990	0.005534	0.979107	
BAM31984.1	OTHER	0.090011	0.000596	0.008972	0.900420	
BAM31985.1	OTHER	0.019093	0.002555	0.003949	0.974403	
BAM31986.1	OTHER	0.005498	0.001580	0.002326	0.990596	
BAM31987.1	OTHER	0.016304	0.000684	0.005860	0.977152	
BAM31992.1	OTHER	0.140999	0.000601	0.013156	0.845244	
BAM31998.1	OTHER	0.008832	0.001450	0.001391	0.988327	
BAM31999.1	OTHER	0.021017	0.000519	0.001133	0.977331	
BAM32000.1	OTHER	0.003167	0.000762	0.000230	0.995841	
BAM32003.1	OTHER	0.013807	0.001294	0.007783	0.977116	
BAM32004.1	OTHER	0.024681	0.001126	0.007588	0.966605	
BAM32005.1	OTHER	0.045775	0.001885	0.005103	0.947237	
BAM32006.1	OTHER	0.056578	0.000872	0.016584	0.925967	
BAM32008.1	OTHER	0.107312	0.018094	0.017958	0.856636	
BAM32009.1	OTHER	0.006897	0.000783	0.000771	0.991548	
BAM32012.1	OTHER	0.018575	0.017261	0.006608	0.957556	
BAM32013.1	OTHER	0.003584	0.001272	0.000476	0.994668	
BAM32017.1	OTHER	0.009248	0.000882	0.001504	0.988366	
BAM32024.1	OTHER	0.010140	0.001231	0.001722	0.986907	
BAM32026.1	OTHER	0.002697	0.001002	0.001250	0.995052	
BAM32027.1	OTHER	0.002883	0.002610	0.000450	0.994058	
BAM32047.1	OTHER	0.009711	0.003200	0.000703	0.986385	
BAM32049.1	OTHER	0.007080	0.000677	0.004085	0.988158	
BAM32050.1	OTHER	0.371208	0.005216	0.029701	0.593875	
BAM32053.1	OTHER	0.034952	0.002331	0.006496	0.956221	
BAM32054.1	OTHER	0.215788	0.025030	0.015470	0.743712	
BAM32055.1	OTHER	0.007903	0.002243	0.001781	0.988073	
BAM32056.1	OTHER	0.003534	0.002012	0.000592	0.993862	
BAM32057.1	OTHER	0.014936	0.000401	0.002160	0.982503	
BAM32060.1	OTHER	0.000209	0.000074	0.000557	0.999160	
BAM32061.1	OTHER	0.027069	0.031309	0.016461	0.925161	
BAM32064.1	OTHER	0.028898	0.004240	0.001417	0.965445	
BAM32065.1	OTHER	0.011535	0.003068	0.002599	0.982797	
BAM32067.1	OTHER	0.003158	0.000840	0.000298	0.995704	
BAM32070.1	OTHER	0.003195	0.000237	0.000387	0.996181	
BAM32076.1	OTHER	0.053776	0.099094	0.088570	0.758560	
BAM32077.1	OTHER	0.003671	0.000578	0.000367	0.995384	
BAM32080.1	OTHER	0.002571	0.001436	0.000745	0.995248	
BAM32081.1	OTHER	0.042764	0.010869	0.005302	0.941065	
BAM32100.1	LIPO(Sec/SPII)	0.164221	0.000655	0.765985	0.069139	CS pos: 23-24. LQG-RE. Pr: 0.5676
BAM32101.1	OTHER	0.370129	0.001018	0.031150	0.597703	
BAM32113.1	OTHER	0.017490	0.001897	0.005772	0.974840	
BAM32114.1	OTHER	0.178634	0.006980	0.083009	0.731378	
BAM32120.1	SP(Sec/SPI)	0.957679	0.000248	0.028663	0.013411	CS pos: 16-17. AFA-QS. Pr: 0.6656
BAM32121.1	LIPO(Sec/SPII)	0.000800	0.000114	0.998712	0.000374	CS pos: 21-22. FTG-CG. Pr: 0.9993
BAM32123.1	OTHER	0.003256	0.002144	0.000342	0.994257	
BAM32125.1	SP(Sec/SPI)	0.967030	0.001220	0.003390	0.028361	CS pos: 25-26. VLA-DN. Pr: 0.9650
BAM32129.1	OTHER	0.010425	0.015459	0.003617	0.970499	
BAM32132.1	OTHER	0.002610	0.000286	0.000488	0.996616	
BAM32137.1	OTHER	0.009763	0.003066	0.003113	0.984057	
BAM32145.1	OTHER	0.041719	0.001968	0.015275	0.941038	
BAM32148.1	OTHER	0.004645	0.003907	0.000595	0.990853	
BAM32151.1	OTHER	0.014287	0.024075	0.001889	0.959749	
BAM32152.1	OTHER	0.068544	0.000804	0.029821	0.900831	
BAM32153.1	OTHER	0.001980	0.000931	0.000420	0.996670	
BAM32156.1	OTHER	0.027653	0.421558	0.002459	0.548330	
BAM32157.1	OTHER	0.008411	0.002041	0.001077	0.988471	
BAM32168.1	OTHER	0.007018	0.001727	0.002611	0.988644	
BAM32169.1	OTHER	0.001867	0.000489	0.000409	0.997235	
BAM32170.1	OTHER	0.003447	0.002042	0.001114	0.993397	
BAM32171.1	OTHER	0.004767	0.000952	0.003130	0.991152	
BAM32172.1	OTHER	0.001946	0.000320	0.000147	0.997587	
BAM32181.1	SP(Sec/SPI)	0.906243	0.000226	0.090503	0.003028	CS pos: 19-20. AQG-AK. Pr: 0.5763
BAM32188.1	OTHER	0.000359	0.000040	0.006608	0.992993	
BAM32190.1	OTHER	0.002763	0.000691	0.000366	0.996181	
BAM32196.1	OTHER	0.012914	0.000297	0.001832	0.984957	
BAM32223.1	SP(Sec/SPI)	0.657772	0.000374	0.339898	0.001956	CS pos: 19-20. MLA-DC. Pr: 0.4225
BAM32224.1	SP(Sec/SPI)	0.992440	0.001227	0.005304	0.001030	CS pos: 23-24. TLA-AT. Pr: 0.9623
BAM32255.1	OTHER	0.040843	0.010603	0.026675	0.921879	
BAM32256.1	OTHER	0.204654	0.083904	0.146339	0.565103	
BAM32259.1	OTHER	0.008534	0.003523	0.002438	0.985504	
BAM32260.1	OTHER	0.004489	0.000936	0.002216	0.992359	
BAM32261.1	OTHER	0.003624	0.000921	0.000801	0.994655	
BAM32266.1	OTHER	0.021477	0.001033	0.007861	0.969629	
BAM32267.1	OTHER	0.048771	0.010822	0.002870	0.937538	
BAM32268.1	OTHER	0.005192	0.005233	0.001131	0.988443	
BAM32269.1	OTHER	0.037860	0.013376	0.042281	0.906484	
BAM32292.1	OTHER	0.010331	0.009155	0.003120	0.977395	
BAM32297.1	OTHER	0.013256	0.005743	0.055823	0.925178	
BAM32301.1	LIPO(Sec/SPII)	0.001784	0.000104	0.997764	0.000348	CS pos: 21-22. FLG-CG. Pr: 0.9985
BAM32302.1	OTHER	0.001490	0.000141	0.001041	0.997327	
BAM32303.1	OTHER	0.009375	0.000774	0.002888	0.986963	
BAM32318.1	OTHER	0.001694	0.003990	0.000461	0.993855	
BAM32319.1	OTHER	0.001468	0.000214	0.002664	0.995654	
BAM32325.1	OTHER	0.003362	0.000918	0.000600	0.995120	
BAM32326.1	OTHER	0.005216	0.000564	0.000544	0.993675	
BAM32327.1	OTHER	0.003232	0.000834	0.000554	0.995380	
BAM32370.1	SP(Sec/SPI)	0.998785	0.000129	0.000755	0.000331	CS pos: 20-21. AMA-FE. Pr: 0.9930
BAM32388.1	OTHER	0.010072	0.001250	0.005388	0.983289	
BAM32393.1	LIPO(Sec/SPII)	0.004903	0.000199	0.978617	0.016281	CS pos: 29-30. FVG-CG. Pr: 0.5274
BAM32396.1	OTHER	0.004354	0.000744	0.000832	0.994070	
BAM32401.1	OTHER	0.025177	0.001113	0.073226	0.900484	
BAM32402.1	OTHER	0.021890	0.000307	0.005244	0.972559	
BAM32408.1	OTHER	0.005462	0.005406	0.005280	0.983852	
BAM32411.1	OTHER	0.012354	0.019030	0.004180	0.964435	
BAM32412.1	OTHER	0.332138	0.023243	0.056532	0.588086	
BAM32414.1	OTHER	0.006769	0.000586	0.000707	0.991938	
BAM32417.1	OTHER	0.009902	0.001793	0.003132	0.985173	
BAM32418.1	OTHER	0.027298	0.006765	0.005304	0.960633	
BAM32427.1	OTHER	0.003253	0.005667	0.000654	0.990426	
BAM32428.1	OTHER	0.025825	0.008029	0.003888	0.962258	
BAM32442.1	OTHER	0.033302	0.021227	0.017747	0.927724	
BAM32445.1	SP(Sec/SPI)	0.982607	0.000650	0.014606	0.002137	CS pos: 20-21. VFA-AP. Pr: 0.8405
BAM32452.1	OTHER	0.001567	0.000252	0.000683	0.997498	
BAM32453.1	OTHER	0.006331	0.000258	0.001115	0.992296	
BAM32454.1	OTHER	0.003627	0.001757	0.001348	0.993269	
BAM32456.1	OTHER	0.014343	0.000400	0.000828	0.984429	
BAM32457.1	OTHER	0.024158	0.002498	0.004174	0.969170	
BAM32458.1	OTHER	0.004795	0.003492	0.000384	0.991330	
BAM32459.1	OTHER	0.003465	0.000293	0.000500	0.995742	
BAM32460.1	OTHER	0.015208	0.000495	0.005650	0.978647	
BAM32461.1	OTHER	0.003593	0.003694	0.000574	0.992139	
BAM32462.1	OTHER	0.062283	0.011748	0.035591	0.890378	
BAM32463.1	OTHER	0.011141	0.004059	0.002792	0.982009	
BAM32469.1	OTHER	0.293004	0.014086	0.006721	0.686189	
BAM32471.1	OTHER	0.007534	0.000329	0.000269	0.991868	
BAM32474.1	OTHER	0.043502	0.001684	0.138229	0.816584	
BAM32484.1	OTHER	0.009396	0.000570	0.018432	0.971602	
BAM32491.1	OTHER	0.089563	0.008389	0.008368	0.893680	
BAM32497.1	OTHER	0.008034	0.005317	0.003180	0.983468	
BAM32504.1	OTHER	0.019282	0.002302	0.001835	0.976581	
BAM32505.1	TAT(Tat/SPI)	0.000064	0.999811	0.000048	0.000077	CS pos: 42-43. AEA-QN. Pr: 0.8074
BAM32506.1	TAT(Tat/SPI)	0.071824	0.762929	0.000662	0.164585	CS pos: 41-42. AKA-GN. Pr: 0.7267
BAM32508.1	LIPO(Sec/SPII)	0.001059	0.000027	0.998792	0.000122	CS pos: 19-20. FFA-CS. Pr: 0.9989
BAM32509.1	SP(Sec/SPI)	0.872170	0.018352	0.027328	0.082150	CS pos: 31-32. LQA-EP. Pr: 0.6181
BAM32510.1	OTHER	0.032751	0.003349	0.008663	0.955238	
BAM32511.1	LIPO(Sec/SPII)	0.157150	0.000120	0.841248	0.001482	CS pos: 18-19. SLT-CL. Pr: 0.8232
BAM32512.1	SP(Sec/SPI)	0.735116	0.000669	0.085119	0.179095	CS pos: 17-18. MWA-KP. Pr: 0.5162
BAM32519.1	OTHER	0.110063	0.000650	0.022743	0.866544	
BAM32526.1	LIPO(Sec/SPII)	0.003855	0.000126	0.995855	0.000164	CS pos: 22-23. LSA-CS. Pr: 0.9971
BAM32535.1	OTHER	0.001203	0.000144	0.003191	0.995462	
BAM32537.1	OTHER	0.027753	0.001289	0.004347	0.966611	
BAM32574.1	SP(Sec/SPI)	0.670523	0.004853	0.040958	0.283666	CS pos: 14-15. ALA-YL. Pr: 0.1869
BAM32589.1	SP(Sec/SPI)	0.805343	0.000202	0.176710	0.017746	CS pos: 18-19. GIA-KD. Pr: 0.8548
BAM32592.1	OTHER	0.003312	0.000261	0.000535	0.995892	
BAM32593.1	OTHER	0.002673	0.000306	0.000394	0.996627	
BAM32594.1	OTHER	0.018622	0.001051	0.001004	0.979323	
BAM32595.1	OTHER	0.006499	0.001412	0.001328	0.990761	
BAM32596.1	OTHER	0.010250	0.000427	0.003907	0.985416	
BAM32598.1	OTHER	0.003364	0.001204	0.001418	0.994014	
BAM32599.1	OTHER	0.024228	0.000744	0.029251	0.945776	
BAM32600.1	OTHER	0.001376	0.000978	0.000508	0.997139	
BAM32601.1	OTHER	0.014030	0.003007	0.003156	0.979807	
BAM32602.1	OTHER	0.008683	0.002575	0.000758	0.987984	
BAM32603.1	OTHER	0.007476	0.001673	0.002049	0.988801	
BAM32604.1	OTHER	0.001962	0.000743	0.000262	0.997034	
BAM32605.1	OTHER	0.004996	0.001173	0.001135	0.992695	
BAM32606.1	OTHER	0.227280	0.005007	0.350274	0.417438	
BAM32607.1	OTHER	0.017735	0.012911	0.006393	0.962961	
BAM32608.1	OTHER	0.081930	0.000993	0.052932	0.864146	
BAM32609.1	OTHER	0.038197	0.010538	0.034532	0.916733	
BAM32610.1	SP(Sec/SPI)	0.992696	0.000319	0.002397	0.004589	CS pos: 17-18. VFA-DE. Pr: 0.9937
BAM32617.1	OTHER	0.002897	0.000747	0.000999	0.995357	
BAM32621.1	OTHER	0.032571	0.050106	0.021233	0.896090	
BAM32622.1	SP(Sec/SPI)	0.997713	0.000151	0.001442	0.000694	CS pos: 19-20. IFA-DD. Pr: 0.9971
BAM32623.1	SP(Sec/SPI)	0.865548	0.000186	0.133141	0.001125	CS pos: 19-20. AFG-AS. Pr: 0.5485
BAM32624.1	OTHER	0.031654	0.000652	0.003296	0.964397	
BAM32625.1	OTHER	0.007148	0.000717	0.001102	0.991034	
BAM32628.1	OTHER	0.002430	0.001995	0.000240	0.995334	
BAM32629.1	SP(Sec/SPI)	0.568529	0.002956	0.412155	0.016360	CS pos: 20-21. LIA-AN. Pr: 0.3895
BAM32630.1	OTHER	0.011140	0.000610	0.001729	0.986520	
BAM32631.1	OTHER	0.008872	0.002824	0.001267	0.987037	
BAM32632.1	OTHER	0.040157	0.013690	0.005870	0.940283	
BAM32633.1	OTHER	0.021428	0.012738	0.007343	0.958492	
BAM32635.1	OTHER	0.003639	0.001251	0.000848	0.994263	
BAM32636.1	SP(Sec/SPI)	0.892406	0.000687	0.054436	0.052471	CS pos: 21-22. LHL-GE. Pr: 0.3512
BAM32637.1	OTHER	0.001619	0.000398	0.000396	0.997587	
BAM32638.1	OTHER	0.002291	0.004585	0.000358	0.992766	
BAM32640.1	OTHER	0.005884	0.002756	0.000508	0.990852	
BAM32641.1	OTHER	0.002183	0.001011	0.000759	0.996047	
BAM32642.1	OTHER	0.005831	0.001710	0.001292	0.991167	
BAM32643.1	OTHER	0.030511	0.004133	0.008801	0.956555	
BAM32644.1	OTHER	0.003284	0.004009	0.000870	0.991838	
BAM32645.1	OTHER	0.002521	0.001144	0.000292	0.996043	
BAM32646.1	OTHER	0.015391	0.008240	0.009805	0.966564	
BAM32647.1	SP(Sec/SPI)	0.980761	0.000629	0.006490	0.012120	CS pos: 22-23. ANA-FS. Pr: 0.9422
BAM32648.1	OTHER	0.003792	0.002894	0.000792	0.992522	
BAM32649.1	OTHER	0.000987	0.000473	0.000215	0.998326	
BAM32650.1	OTHER	0.054193	0.069560	0.026313	0.849933	
BAM32651.1	OTHER	0.019130	0.062680	0.002644	0.915545	
BAM32652.1	OTHER	0.002620	0.001351	0.000389	0.995640	
BAM32653.1	OTHER	0.027026	0.001732	0.007625	0.963618	
BAM32654.1	OTHER	0.004185	0.002699	0.000986	0.992131	
BAM32656.1	OTHER	0.002158	0.000117	0.004906	0.992819	
BAM32657.1	SP(Sec/SPI)	0.984637	0.000336	0.006055	0.008972	CS pos: 22-23. ANA-VF. Pr: 0.8686
BAM32658.1	OTHER	0.003689	0.000278	0.000591	0.995442	
BAM32662.1	OTHER	0.020965	0.005514	0.005712	0.967809	
BAM32667.1	SP(Sec/SPI)	0.994985	0.000353	0.004112	0.000550	CS pos: 20-21. AYA-ES. Pr: 0.9174
BAM32668.1	SP(Sec/SPI)	0.990597	0.000155	0.008792	0.000457	CS pos: 20-21. VNA-QS. Pr: 0.9712
BAM32669.1	OTHER	0.003076	0.000549	0.000324	0.996051	
BAM32671.1	SP(Sec/SPI)	0.995401	0.000338	0.003726	0.000535	CS pos: 20-21. AYA-ES. Pr: 0.9159
BAM32672.1	OTHER	0.009091	0.007128	0.000368	0.983412	
BAM32674.1	OTHER	0.010388	0.001351	0.001797	0.986463	
BAM32675.1	SP(Sec/SPI)	0.922311	0.001043	0.018562	0.058083	CS pos: 21-22. LWA-NS. Pr: 0.7293
BAM32676.1	OTHER	0.015004	0.000946	0.001811	0.982239	
BAM32677.1	OTHER	0.000697	0.000082	0.031231	0.967989	
BAM32678.1	OTHER	0.004910	0.000300	0.000329	0.994462	
BAM32679.1	OTHER	0.000464	0.000197	0.002901	0.996438	
BAM32680.1	OTHER	0.021306	0.002074	0.021277	0.955344	
BAM32681.1	OTHER	0.001189	0.000096	0.004462	0.994253	
BAM32682.1	OTHER	0.004696	0.000682	0.001063	0.993559	
BAM32683.1	OTHER	0.000303	0.000086	0.001158	0.998453	
BAM32684.1	OTHER	0.025679	0.005185	0.044761	0.924376	
BAM32686.1	OTHER	0.014291	0.001279	0.003829	0.980601	
BAM32688.1	OTHER	0.000241	0.000072	0.000722	0.998966	
